Recipient_Gender,Recipient_Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Special_Note,Gift_Popularity,Gift_Purpose,Past_Gift_Reaction,Delivery_Method,Gift_Wrapping_Preference,Best_Gift
Female,29,Single,High ($100-$500),Anniversary Valentine,Sentimental,<6 months,Fitness,Has allergies,Very Popular,Celebration,Disliked,Online Delivery,Fancy Wrapping,Perfume
Other,34,Married,Medium ($20-$100),First Valentine,Sentimental,3+ years,Music,Handmade gifts appreciated,Moderately Popular,Celebration,Highly Appreciated,Planned Surprise,No Wrapping,Fashion Accessories
Other,56,Single,Low (<$20),First Valentine,Practical,3+ years,Fashion,Tech-savvy,Moderately Popular,Expression of Love,Never Given Gift Before,Online Delivery,Eco-Friendly,Flowers
Other,50,Complicated,Luxury (>$500),First Valentine,Fun,6 months - 1 year,Cooking,Prefers practical gifts,Very Popular,Expression of Love,Disliked,Online Delivery,Fancy Wrapping,Fashion Accessories
Male,53,Married,Medium ($20-$100),Long-Distance Valentine,Surprise,<6 months,Music,Has allergies,Moderately Popular,Apology,Highly Appreciated,Planned Surprise,Eco-Friendly,Subscription Service
Other,38,Engaged,Medium ($20-$100),Casual Valentine,Sentimental,1-3 years,Technology,Enjoys luxury items,Moderately Popular,Celebration,Never Given Gift Before,Online Delivery,Minimalist,Handmade Gift
Other,18,Married,Medium ($20-$100),Long-Distance Valentine,Luxury,1-3 years,Reading,Handmade gifts appreciated,Very Popular,Spontaneous Surprise,Never Given Gift Before,Courier,Eco-Friendly,Handmade Gift
Female,23,Single,Medium ($20-$100),Casual Valentine,Sentimental,3+ years,Reading,Tech-savvy,Moderately Popular,Expression of Love,Disliked,Online Delivery,Minimalist,Flowers
Other,26,Dating,High ($100-$500),First Valentine,Surprise,1-3 years,Cooking,Has allergies,Very Popular,Spontaneous Surprise,Disliked,Courier,Minimalist,Chocolates
Other,51,Dating,Medium ($20-$100),Long-Distance Valentine,Fun,1-3 years,Sports,Has allergies,Very Popular,Apology,Disliked,Planned Surprise,Eco-Friendly,Fashion Accessories
Male,37,Engaged,Luxury (>$500),First Valentine,Surprise,1-3 years,Fitness,Prefers practical gifts,Moderately Popular,Celebration,Highly Appreciated,Courier,Fancy Wrapping,Chocolates
Female,57,Engaged,High ($100-$500),Casual Valentine,Practical,6 months - 1 year,Cooking,Prefers practical gifts,Moderately Popular,Celebration,Highly Appreciated,Online Delivery,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Other,23,Single,Low (<$20),Anniversary Valentine,Romantic,<6 months,Fashion,Enjoys luxury items,Moderately Popular,Expression of Love,Highly Appreciated,In-Person,No Wrapping,Jewelry
Other,21,Married,High ($100-$500),Anniversary Valentine,Sentimental,<6 months,Art,Handmade gifts appreciated,Moderately Popular,Celebration,Disliked,In-Person,Minimalist,Fashion Accessories
Male,31,Engaged,High ($100-$500),Anniversary Valentine,Surprise,<6 months,Gaming,Handmade gifts appreciated,Moderately Popular,Apology,Never Given Gift Before,Online Delivery,Minimalist,Jewelry
Non-Binary,31,Single,Medium ($20-$100),Anniversary Valentine,Fun,<6 months,Sports,Prefers practical gifts,Moderately Popular,Celebration,Disliked,Online Delivery,No Wrapping,Perfume
Non-Binary,57,Engaged,Medium ($20-$100),Long-Distance Valentine,Practical,3+ years,Gaming,Has allergies,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,In-Person,Minimalist,Chocolates
Male,50,Complicated,Luxury (>$500),Long-Distance Valentine,Practical,1-3 years,Fashion,Prefers experiences over items,Very Popular,Apology,Neutral,Online Delivery,Fancy Wrapping,Perfume
Non-Binary,30,Engaged,Medium ($20-$100),First Valentine,Sentimental,6 months - 1 year,Cooking,Enjoys luxury items,Moderately Popular,Apology,Highly Appreciated,Courier,Minimalist,Perfume
Female,50,Complicated,Low (<$20),First Valentine,Romantic,6 months - 1 year,Sports,Prefers practical gifts,Moderately Popular,Expression of Love,Never Given Gift Before,Courier,Minimalist,Personalized Gift
Female,24,Dating,Low (<$20),Anniversary Valentine,Romantic,1-3 years,Reading,Enjoys luxury items,Rare Choice,Expression of Love,Disliked,Planned Surprise,No Wrapping,Subscription Service
Female,29,Complicated,Medium ($20-$100),Long-Distance Valentine,Luxury,<6 months,Cooking,Enjoys luxury items,Rare Choice,Expression of Love,Neutral,Online Delivery,Fancy Wrapping,Personalized Gift
