Gender,Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Past_Gift_Item,Past_Gift_Reaction,Recent_Purchase_1,Recent_Purchase_2,Recent_Purchase_3,Best_Gift
Male,56,Engaged,Low,Just Because,Adventurous,<6 months,Music,Tech Gadget,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Fashion Accessory
Female,58,Single,Low,Anniversary,Surprise,6-12 months,Technology,Chocolates,Loved it,Phone Charger,Smart Speaker,Processor Chip,Fashion Accessory
Female,21,Single,Low,Valentine's Day,Romantic,5+ years,Cooking,Fashion Accessory,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Flowers
Other,60,Married,Very High,Anniversary,Sentimental,6-12 months,Music,Chocolates,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Male,56,Engaged,Low,Just Because,Adventurous,<6 months,Music,Tech Gadget,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Fashion Accessory
Female,55,Married,Medium,Just Because,Romantic,3-5 years,Fashion,Personalized Gift,Disliked it,Earrings,Necklace,Hat,Flowers
Female,28,Single,Very High,Valentine's Day,Sentimental,<6 months,Cooking,Personalized Gift,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Female,38,Single,High,Just Because,Practical,1-3 years,Art,Personalized Gift,Liked it,Hat,Handbag,Earrings,Chocolates
Female,48,Single,Very High,Valentine's Day,Practical,<6 months,Fashion,Tech Gadget,Loved it,Earrings,Necklace,Hat,Personalized Gift
Female,27,Dating,Low,Valentine's Day,Practical,1-3 years,Technology,Fashion Accessory,Loved it,Phone Charger,Smart Speaker,Processor Chip,Chocolates
Female,54,Married,Low,Valentine's Day,Practical,1-3 years,Cooking,Tech Gadget,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Chocolates
Male,48,Married,Medium,Birthday,Sentimental,3-5 years,Technology,Chocolates,Loved it,Headphones,Phone Charger,Smart Speaker,Tech Gadget
Female,56,Married,Very High,Birthday,Practical,<6 months,Technology,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Personalized Gift
Other,35,Single,Medium,Birthday,Practical,3-5 years,Sports,Personalized Gift,Disliked it,Headphones,Phone Charger,Smart Speaker,Subscription Service
Other,54,Single,High,Valentine's Day,Practical,1-3 years,Art,Tech Gadget,Liked it,Handbag,Earrings,Necklace,Subscription Service
Female,37,Engaged,Low,Just Because,Sentimental,1-3 years,Sports,Chocolates,Loved it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Female,21,Single,Low,Just Because,Sentimental,6-12 months,Music,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Male,22,Engaged,Medium,Valentine's Day,Adventurous,5+ years,Music,Fashion Accessory,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Male,33,Single,Low,Valentine's Day,Adventurous,<6 months,Art,Personalized Gift,Loved it,Earrings,Necklace,Hat,Fashion Accessory
Other,60,Dating,High,Valentine's Day,Practical,5+ years,Music,Tech Gadget,Liked it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Male,44,Engaged,High,Birthday,Surprise,1-3 years,Technology,Flowers,Loved it,Processor Chip,Headphones,Phone Charger,Tech Gadget
Male,38,Single,High,Anniversary,Adventurous,<6 months,Music,Personalized Gift,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Male,25,Engaged,Low,Just Because,Adventurous,5+ years,Fashion,Subscription Service,Liked it,Handbag,Earrings,Necklace,Fashion Accessory
Male,59,Engaged,Very High,Anniversary,Sentimental,3-5 years,Music,Chocolates,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Other,56,Married,Low,Birthday,Sentimental,6-12 months,Technology,Tech Gadget,Disliked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Male,40,Engaged,Medium,Just Because,Adventurous,5+ years,Technology,Subscription Service,Loved it,Headphones,Phone Charger,Smart Speaker,Tech Gadget
Female,60,Single,Very High,Anniversary,Practical,1-3 years,Fashion,Flowers,Liked it,Hat,Handbag,Earrings,Personalized Gift
